SiteName,obs_Syear,obs_Eyear,Source,filename,Run_Flag,IGBP_CLASS,z_T,z_U,dt,C3,D0,rss_v,g_min_c,Kr,dl,z0_soil,Km,cd
ES-ES1,1999,2006,LaThuile,ES-ES1_1999-2006_LaThuile_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
ES-ES2,2005,2006,LaThuile,ES-ES2_2005-2006_LaThuile_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
ES-LMa,2004,2006,LaThuile,ES-LMa_2004-2006_LaThuile_Flux.nc,0,9,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
ES-LgS,2007,2007,FLUXNET2015,ES-LgS_2007-2007_FLUXNET2015_Flux.nc,0,7,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
ES-VDA,2004,2004,LaThuile,ES-VDA_2004-2004_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
FI-Hyy,1996,2014,FLUXNET2015,FI-Hyy_1996-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
FI-Kaa,2000,2002,LaThuile,FI-Kaa_2000-2002_LaThuile_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
FI-Lom,2007,2009,FLUXNET2015,FI-Lom_2007-2009_FLUXNET2015_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
FI-Sod,2008,2014,FLUXNET2015,FI-Sod_2008-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
FR-Fon,2005,2013,FLUXNET2015,FR-Fon_2005-2013_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
FR-Gri,2005,2013,FLUXNET2015,FR-Gri_2005-2013_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
FR-Hes,1997,2006,LaThuile,FR-Hes_1997-2006_LaThuile_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
