SiteName,obs_Syear,obs_Eyear,Source,filename,Run_Flag,IGBP_CLASS,z_T,z_U,dt,C3,D0,rss_v,g_min_c,Kr,dl,z0_soil,Km,cd
AR-SLu,2010,2010,FLUXNET2015,AR-SLu_2010-2010_FLUXNET2015_Flux.nc,1,5,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AT-Neu,2002,2012,FLUXNET2015,AT-Neu_2002-2012_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-ASM,2011,2017,OzFlux,AU-ASM_2011-2017_OzFlux_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Cow,2010,2015,OzFlux,AU-Cow_2010-2015_OzFlux_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Cpr,2011,2017,OzFlux,AU-Cpr_2011-2017_OzFlux_Flux.nc,0,9,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Ctr,2010,2017,OzFlux,AU-Ctr_2010-2017_OzFlux_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Cum,2013,2018,OzFlux,AU-Cum_2013-2018_OzFlux_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-DaP,2009,2012,OzFlux,AU-DaP_2009-2012_OzFlux_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-DaS,2010,2017,OzFlux,AU-DaS_2010-2017_OzFlux_Flux.nc,0,9,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Dry,2011,2015,OzFlux,AU-Dry_2011-2015_OzFlux_Flux.nc,0,9,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Emr,2012,2013,OzFlux,AU-Emr_2012-2013_OzFlux_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-GWW,2013,2017,OzFlux,AU-GWW_2013-2017_OzFlux_Flux.nc,0,9,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
